iter	Passed	Remaining
0	0	79
1	1	87
2	2	78
3	2	69
4	3	67
5	4	65
6	4	63
7	5	62
8	6	61
9	7	63
10	7	62
11	8	61
12	8	59
13	9	58
14	10	57
15	10	56
16	11	55
17	11	54
18	12	53
19	13	52
20	14	53
21	14	52
22	15	51
23	15	50
24	16	50
25	17	49
26	18	49
27	18	48
28	19	48
29	20	47
30	21	48
31	22	48
32	23	47
33	24	47
34	25	46
35	25	46
36	26	45
37	27	44
38	28	44
39	28	43
40	29	42
41	29	41
42	30	40
43	31	39
44	31	39
45	32	38
46	33	37
47	33	36
48	34	36
49	35	35
50	36	35
51	37	34
52	37	33
53	38	32
54	38	31
55	39	30
56	40	30
57	40	29
58	41	28
59	41	27
60	42	27
61	43	26
62	44	25
63	44	25
64	45	24
65	46	23
66	47	23
67	47	22
68	48	21
69	49	21
70	50	20
71	50	19
72	51	19
73	52	18
74	52	17
75	53	16
76	53	16
77	54	15
78	55	14
79	55	13
80	56	13
81	57	12
82	58	11
83	58	11
84	59	10
85	59	9
86	60	9
87	61	8
88	62	7
89	62	6
90	63	6
91	64	5
92	65	4
93	65	4
94	66	3
95	67	2
96	67	2
97	68	1
98	68	0
99	69	0
